# index, _pos
513,"array([ 14.18598976, -91.65838063])"
514,"array([25.35756405, -0.28375209])"
515,"array([21.71377174,  0.4370662 ])"
516,"array([ 27.83997422, -24.19014002])"
517,"array([26.90057892, -4.2634416 ])"
518,"array([ 43.46300551, 140.75888506])"
519,"array([ -7.08726571, -22.62986626])"
520,"array([-46.65989206, -37.99429195])"
521,"array([58.90254993, 12.95247103])"
522,"array([31.76025183, -4.56342132])"
523,"array([ 33.66402755, -16.30532636])"
524,"array([27.66313676,  0.41099331])"
525,"array([ 12.87445906, 118.89139552])"
526,"array([ -2.62153002, 170.07583858])"
527,"array([ 37.78862915, -12.75919088])"
528,"array([36.38288617, 33.75126308])"
529,"array([32.73666637, -5.9447585 ])"
530,"array([ 42.76826661, -13.60705952])"
531,"array([  2.43513158, -29.53721529])"
532,"array([69.15442454, 19.46364016])"
533,"array([ 84.40352176, -19.01355179])"
534,"array([57.46669165, 47.84417345])"
535,"array([48.35526544, 13.07589149])"
536,"array([38.05803667,  1.48962515])"
537,"array([ 53.9319224 , 106.20114542])"
538,"array([-13.33547616,  88.63531893])"
539,"array([-47.14210676, 108.15592016])"
540,"array([120.8424672 , 207.02929359])"
541,"array([119.04861133, 220.75234766])"
542,"array([ 31.05345703, -14.15588344])"
543,"array([ 3.52532322, 79.39400659])"
544,"array([-22.24144488, 101.96929815])"
545,"array([-26.27596797,  73.42285511])"
546,"array([-13.14395462,  48.24804891])"
547,"array([ 28.5338634 , -11.01215946])"
548,"array([32.95845434, 69.5880175 ])"
549,"array([48.00346967,  4.31123285])"
550,"array([ 30.32750046, -11.59669374])"
551,"array([50.42821826,  7.91039248])"
552,"array([35.57189953, -9.50209409])"
553,"array([ 1.60075257, 77.57395961])"
554,"array([17.92632619, 58.54152482])"
555,"array([86.45664979, 50.51506608])"
556,"array([-12.51159223,  -6.41133099])"
557,"array([-48.20723078, -18.67384964])"
558,"array([15.47554875, -0.51715972])"
559,"array([ 50.27838954, -35.08096394])"
560,"array([ 73.70517049, -57.56016721])"
561,"array([38.07650181, -2.49642248])"
562,"array([ 38.27905704, -25.68475963])"
563,"array([43.70578326, 37.0863921 ])"
564,"array([15.97451288, -6.65836948])"
565,"array([82.61844547, 80.95565525])"
566,"array([101.26213942,  80.77644127])"
567,"array([ 28.43203238, 105.53800272])"
568,"array([ -7.33187286, 104.24016435])"
569,"array([-16.41735017, 145.01886479])"
570,"array([94.50340155, 73.81250355])"
571,"array([85.9990172, 59.4817867])"
572,"array([39.0604356, -5.7633013])"
573,"array([101.91293664, -43.17604347])"
574,"array([80.49853892, 39.36126836])"
575,"array([72.95652204, 26.29518147])"
576,"array([68.9207376 , 23.99188762])"
577,"array([52.30353593,  4.12598329])"
578,"array([ 40.19816631, -35.75967904])"
579,"array([ 39.27429895, -24.44047564])"
580,"array([30.62675135, -2.19759863])"
581,"array([35.06443416,  2.07663245])"
582,"array([56.53205405, 30.98364207])"
583,"array([-14.55205428, -32.62577899])"
584,"array([-66.23268934, -61.91866639])"
585,"array([ 40.40257756, -90.81215595])"
586,"array([  39.37824772, -139.44261975])"
587,"array([27.62758695,  2.18509563])"
588,"array([21.35801915, -9.4309264 ])"
589,"array([42.94028388, 18.99857356])"
590,"array([72.22324871, 17.62274178])"
591,"array([56.0145599 , 36.34735206])"
592,"array([27.5474135 , 26.24292185])"
593,"array([-37.19621758,  27.31513121])"
594,"array([-43.81676151,  29.86627412])"
